country,first,second,third,fourth,fifth
Saint Pierre And Miquelon,Åland,Liechtenstein,Estonia,Austria,Latvia
Greenland,Denmark,Svalbard And Jan Mayen,Canada,Russia,Mongolia
Gambia,Senegal,Guinea Bissau,Guinea,Sierra Leone,Mali
Andorra,Italy,France,Belgium,Netherlands,Croatia
Mauritania,Qatar,Bahrain,Turks And Caicas Islands,Cayman Islands,The Bahamas
Niue,Fiji,Samoa,American Samoa,Tonga,Solomon Islands
Heard Island And Mcdonald Islands,French Southern and Antarctic Lands,Afghanistan,Albania,Algeria,American Samoa
Trinidad and Tobago,Barbados,Dominica,Martinique,Grenada,Saint Lucia
United Republic of Tanzania,Malawi,Zambia,Ethiopia,Mozambique,Kenya
Jersey,Guernsey,Isle Of Man,Ireland,France,Andorra
Ghana,Togo,Benin,Ivory Coast,Republic of the Congo,Burkina Faso
Algeria,Libya,Egypt,Iraq,Kuwait,Macau
Liechtenstein,Austria,Switzerland,Lithuania,Åland,Latvia
Macau,Hong Kong,Taiwan,Egypt,Western Sahara,Libya
Turkmenistan,Afghanistan,Uzbekistan,Iran,South Korea,Azerbaijan
Tonga,Fiji,Niue,Samoa,American Samoa,Solomon Islands
Burkina Faso,Ivory Coast,Gambia,Senegal,Guinea Bissau,Guinea
Morocco,Lebanon,Northern Cyprus,Malta,Gaza Strip,Israel
Samoa,American Samoa,Niue,Fiji,Tonga,Solomon Islands
Ukraine,Moldova,Romania,Poland,Slovakia,Belarus
Chad,South Sudan,Sudan,Nigeria,Central African Republic,Sao Tome And Principe
Reunion,Mauritius,Madagascar,Comoros,Mayotte,Seychelles
The Bahamas,Cuba,Dominican Republic,Puerto Rico,Belize,Jamaica
Sudan,South Sudan,Chad,Central African Republic,Nigeria,Sao Tome And Principe
Martinique,Dominica,Guadeloupe,Saint Kitts And Nevis,Montserrat,Antigua And Barbuda
Macedonia,Montenegro,Bulgaria,Republic of Serbia,Bosnia and Herzegovina,Croatia
Faroe Islands,United Kingdom,Isle Of Man,Ireland,Netherlands,Guernsey
Cuba,Dominican Republic,The Bahamas,Puerto Rico,Jamaica,Belize
Guinea,Guinea Bissau,Sierra Leone,Gambia,Senegal,Ivory Coast
Jamaica,Haiti,British Virgin Islands,Virgin Islands,Dominican Republic,Dominica
Malta,Northern Cyprus,Gaza Strip,Morocco,Lebanon,Israel
Niger,Benin,Oman,Togo,Ghana,Republic of the Congo
Antigua And Barbuda,Montserrat,Guadeloupe,Anguilla,Saint Barthélemy,Saint Martin
Federated States Of Micronesia,Afghanistan,Albania,Algeria,American Samoa,Andorra
Sierra Leone,Liberia,Guinea,Guinea Bissau,Gambia,Senegal
Jordan,Gaza Strip,Israel,Tunisia,Syria,Northern Cyprus
Philippines,New Zealand,Afghanistan,Albania,Algeria,American Samoa
Netherlands,Belgium,Luxembourg,Monaco,Germany,Andorra
Kyrgyzstan,Tajikistan,China,Kazakhstan,Sweden,North Korea
Iceland,Norway,Sweden,Liechtenstein,Saint Pierre And Miquelon,Åland
Italy,Albania,San Marino,Spain,France,Andorra
Madagascar,Comoros,Mayotte,Seychelles,Mauritius,Reunion
Kazakhstan,North Korea,Kyrgyzstan,China,Tajikistan,Belarus
Laos,Vietnam,Burma,Bangladesh,Guatemala,Thailand
Luxembourg,Belgium,Netherlands,Monaco,Germany,Slovenia
